Gene symbol,Uniprot Identifier,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,HF9
HDHD5,Q9BXW7,3.4484639192916973,3.7955097964815288,3.8939030535887404,3.4928163967707064,3.803143519571311,3.8162142401831254,3.257395018153886,3.7639717174460685,3.8024509539464333,3.482667758931502,3.448177842961158,3.4476834328399732,3.2715503414344553,3.6693939475962054,3.692962687038772
HDLBP,Q00341,3.612496770900364,3.195419298366403,3.138131040162399,3.7059108115778265,3.164748182447184,3.34829092879248,3.4891455002578162,3.1157228226818674,3.1412805725114232,3.413560720856079,3.3164482349051383,3.317683941487207,3.2286377248917155,3.334580243303659,3.107831285804508
HEATR1,Q9H583,-3.8506485565889346,-3.5439769001442816,-4.053343196838295,-3.269157689631932,-4.051724716185715,-3.798814588967794,-3.822600985993475,-4.119458574256827,-3.8950171864561884,-3.604191197194119,-3.66985586785378,-3.699805810740745,-3.8535580421941464,-4.090082926149458,-4.522321261216447
HEATR3,Q7Z4Q2,-3.6302580148611465,-3.302188583952109,-3.2234749370355757,-3.2706785385996824,-3.2358168883846723,-3.451748810577257,-3.3107306157597414,-3.284750058486358,-3.1527694760266023,-3.294133110362502,-2.910463738260404,-3.4712287414915064,-3.2642329298560497,-3.359280029547202,-3.2597339941041685
HEATR5A,Q86XA9,-0.6766777140475924,-0.7842634401253115,-0.87309754171919,-0.7609381037837757,-0.7402134884427625,-0.8556181199802957,-0.8064798742109645,-0.7466720630444783,-0.6672600839274878,-0.7737518166806616,-0.7847337709294919,-0.7254543954675761,-0.7733044059554999,-0.7329738557953647,-0.8213027840066118
HEATR5B,Q9P2D3,-0.679864591913006,-0.8891654659771326,-0.7514966972816062,-0.5240977865269727,-0.591597648850616,-0.7800895237191341,-0.7140350864447953,-0.7281282845660684,-0.7422946852434045,-0.6134377994934681,-0.7106619163612997,-0.5994537976794945,-0.7440011436205118,-0.6826687231082538,-0.8502585988206519
HEATR6,Q6AI08,-3.8520004755815727,-3.7152226357397886,-3.6599404128116113,-3.8411461131708933,-3.5321172975892132,-3.9106070725269984,-3.5375534665601265,-3.8718583352732896,-3.8958003599432462,-3.7633582563075674,-3.7662692219813465,-3.6200934699284417,-3.5042972960614307,-3.5421859340266995,-3.870405711761821
HEBP1,Q9NRV9,2.88142403780801,3.0388331078280757,3.0653819896446564,2.9491527048583954,3.137563910162843,3.0392446326949063,2.7617279663549965,2.78720718842661,2.8100051235369854,2.957572531479414,2.781182059368728,2.8191187076224082,2.801143220715602,2.9088806034574866,2.902088511679711
HEBP2,Q9Y5Z4,2.6672217037730483,3.009313130437178,2.8029122137502966,2.942213097446917,2.764776198163382,3.1217156791218486,2.7424348461745076,2.96819893523044,2.878858185769406,2.696623689254171,2.808826915727618,2.690129703101764,2.6634899309530056,2.8279148127738196,2.7614353611282674
HECTD1,Q9ULT8,2.4747581356829578,2.3853597123893735,2.592774628740848,2.3330773830601146,2.4201117684520206,2.5656083507689544,2.3176138261432513,2.2613558803121734,2.3619464802145274,2.5994971283916826,2.480876180711924,2.3348520206474923,2.320663672044578,2.4276520537966313,2.4250221186173064
